,Year,Maker,Total,MarketShare,Month,Sales
228,2020,Ampere,6095,14%,Aug,252.0
229,2020,Ather,4401,10%,Aug,243.0
230,2020,Revolt,1793,4%,Aug,274.0
231,2020,Bajaj,1470,3%,Aug,96.0
232,2020,Pure,2080,5%,Aug,79.0
233,2020,Being,1151,3%,Aug,54.0
234,2020,Jitendra,639,1%,Aug,13.0
235,2020,Tvs,838,2%,Aug,22.0
236,2020,Others,3251,7%,Aug,85.0
237,2021,Hero,69235,27%,Aug,5575.0
238,2021,Okinawa,47926,19%,Aug,2895.0
239,2021,Ampere,25516,10%,Aug,810.0
240,2021,Ather,19981,8%,Aug,1613.0
241,2021,Pure,14969,6%,Aug,1094.0
242,2021,Ola,14405,6%,Aug,0.0
243,2021,Tvs,9740,4%,Aug,651.0
244,2021,Revolt,7641,3%,Aug,853.0
245,2021,Bajaj,7114,3%,Aug,796.0
246,2021,Being,7374,3%,Aug,325.0
247,2021,Jitendra,3875,2%,Aug,208.0
248,2021,Others,24865,10%,Aug,1279.0
249,2022,Ola,152779,21%,Aug,3476.0
250,2022,Okinawa,95939,13%,Aug,8758.0
251,2022,Hero,89874,12%,Aug,10820.0
252,2022,Ampere,87392,12%,Aug,6772.0
253,2022,Tvs,82109,11%,Aug,6427.0
254,2022,Ather,76939,11%,Aug,5377.0
255,2022,Bajaj,32805,5%,Aug,2621.0
256,2022,Okaya,13175,2%,Aug,905.0
257,2022,Revolt,12932,2%,Aug,1662.0
258,2022,Pure,11556,2%,Aug,880.0
259,2022,Being,11018,2%,Aug,1099.0
260,2022,Jitendra,8563,1%,Aug,653.0
261,2022,Others,52973,7%,Aug,3679.0
262,2023,Ola,241836,33%,Aug,18744.0
263,2023,Tvs,141801,20%,Aug,15484.0
264,2023,Ather,82527,11%,Aug,7151.0
265,2023,Bajaj,77286,11%,Aug,6588.0
266,2023,Ampere,49301,7%,Aug,3699.0
267,2023,Okinawa,19532,3%,Aug,2001.0
268,2023,Hero,11447,2%,Aug,783.0
269,2023,Okaya,12146,2%,Aug,1151.0
270,2023,Bgauss,10776,1%,Aug,923.0
271,2023,Battre,4047,1%,Aug,291.0
272,2023,Kinetic,5108,1%,Aug,385.0
273,2023,Revolt,6269,1%,Aug,514.0
274,2023,Others,62060,9%,Aug,5051.0
275,2019,Hero,7865,29%,Sept,245.0
276,2019,Okinawa,10544,39%,Sept,940.0
277,2019,Ather,2905,11%,Sept,96.0
278,2019,Ampere,2518,9%,Sept,155.0
279,2019,Revolt,1063,4%,Sept,0.0
280,2019,Others,1939,7%,Sept,122.0
281,2020,Hero,15956,36%,Sept,1102.0
